Iteration No,Io,gain_db,gain_fo,gain_lower,gain_upper,freq_lower,freq_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,
1,0.0009181843,12.28355,12.28355,12.2834,11.90972,1000000.0,2000000000.0,31.232414579886324,-0.0127354,-92.3567,-112.686,-6.71214e-07,4.999396619818072,28.76646,0.003641314,0.01696159,0.0592005,0.5695275,0.691261,0.2010399,
2,0.0009614007,12.47466,12.47466,12.34162,12.10777,1000000.0,2000000000.0,30.24289775301456,-0.0210425,-90.0785,-110.324,-6.570109999999999e-07,4.789506893686139,26.49407,0.003835845,0.017688,0.05961894,0.579511,0.6764091,0.2066221,
3,0.001005585,12.64585,12.64585,12.29594,12.29001,1000000.0,2000000000.0,29.610742676356935,-0.0346945,-87.8289,-107.987,-6.42304e-07,4.599572933032948,24.23866,0.004034438,0.01842692,0.06003152,0.5893444,0.6619171,0.2121498,
4,0.001050801,12.79957,12.79957,12.11128,12.4534,1000000.0,2000000000.0,29.45894549530429,-0.0568734,-85.6242,-105.698,-6.270899999999999e-07,4.427998351897717,22.01911,0.004241897,0.01918226,0.06051375,0.5997515,0.6475552,0.218025,
5,0.001095431,12.92673,12.92673,11.72706,12.58898,1000000.0,2000000000.0,29.017149347463203,-0.0927716,-83.4716,-103.454,-6.11781e-07,4.276646330774668,19.83625,0.004444244,0.0199247,0.06088477,0.6088308,0.6342276,0.2232007,
6,0.001140651,13.03734,13.03734,11.10881,12.7114,1000000.0,2000000000.0,25.98468861446976,-0.149591,-81.393,-101.282,-5.96942e-07,4.139522975260974,17.72088,0.004648779,0.02067273,0.06125099,0.6177379,0.6215014,0.2283099,
7,0.001186124,13.12899,13.12899,10.22961,12.81208,1000000.0,2000000000.0,22.100336498562925,-0.237903,-79.4063,-99.1982,-5.82736e-07,4.014879119361463,15.69128,0.004855607,0.02142032,0.06161242,0.6266151,0.6093873,0.2334677,
8,0.001229297,12.088027,13.20314,9.088027,12.89732,1000000.0,2000000000.0,18.853661339943784,-0.372527,-77.5242,-97.2255,-5.708999999999999e-07,3.9097760896637768,13.76889,0.005052549,0.02213682,0.06190153,0.6341481,0.5986337,0.2378739,
9,0.00127153,10.757655,13.26726,7.757655,12.97043,1000000.0,2000000000.0,16.107670328632338,-0.567084,-75.8024,-95.4224,-5.61685e-07,3.8177378391752628,12.01627,0.005245412,0.02284326,0.06222184,0.6414035,0.5887882,0.2421047,
10,0.001312488,9.298098,13.313,6.298098,13.024,1000000.0,2000000000.0,13.759702555625822,-0.836135,-74.2665,-93.7984,-5.554929999999999e-07,3.734292896580935,10.45884,0.005432676,0.02351647,0.0624896,0.6483347,0.5798122,0.2462358,
11,0.001343058,8.779342,13.48302,5.779342,13.19119,1000000.0,2000000000.0,10.809213581321501,-1.0023,-73.3163,-92.6089,-5.58654e-07,3.5003051798318436,9.653349,0.005604536,0.02399601,0.06290145,0.659082,0.5499968,0.2516058,
12,0.001366189,8.272106,13.59625,5.272106,13.30094,1000000.0,2000000000.0,8.3949200531505,-1.17286,-72.5212,-91.5683,-5.611929999999999e-07,3.3048929544572756,8.972991,0.005741144,0.02437669,0.06322885,0.6678189,0.5229686,0.2558792,
13,0.001381938,7.812474,13.64871,4.812474,13.35064,1000000.0,2000000000.0,6.3281192568033475,-1.33362,-71.8964,-90.6857,-5.63148e-07,3.144037432423317,8.431131,0.005841951,0.02461762,0.06349513,0.6747298,0.4993028,0.2590473,
14,0.001388049,7.364222,13.66675,4.364222,13.36788,1000000.0,2000000000.0,4.667335780788463,-1.49296,-71.3765,-89.9433,-5.663929999999999e-07,3.024998761195295,7.978976,0.005894857,0.02472562,0.06359332,0.678526,0.4809492,0.2605793,
15,0.001389199,6.943892,13.66725,3.943892,13.36473,1000000.0,2000000000.0,3.285971157850099,-1.64868,-70.937,-89.309,-5.699639999999999e-07,2.930830955548973,7.595419,0.005915879,0.02476384,0.06360745,0.680504,0.4662129,0.2611492,
16,0.00137958,6.541855,13.68143,3.541855,13.37371,1000000.0,2000000000.0,2.481210560082687,-1.80587,-70.5435,-88.8307,-5.77613e-07,2.885470515187056,7.275806,0.005885919,0.02467287,0.06338537,0.6787623,0.4582414,0.259899,
17,0.001371202,6.192330999999999,13.6836,3.192331,13.36848,1000000.0,2000000000.0,1.6174272527718472,-1.95044,-70.2093,-88.3818,-5.83249e-07,2.8305103838398944,7.000496,0.00585923,0.02460862,0.06312981,0.677646,0.4494135,0.259188,
18,0.001359325,5.8763380000000005,13.6954,2.876338,13.3738,1000000.0,2000000000.0,1.0030746749439743,-2.09067,-69.9049,-88.0099,-5.90757e-07,2.7940134650739763,6.765701,0.005812989,0.02449554,0.06281959,0.6754271,0.4432672,0.2579509,
