Iteration No,Rb,Io,gain_db,gain_fo,gain_lower,gain_upper,freq_lower,freq_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,Rd,Io,gain_db,gain_fo,gain_lower,gain_upper,freq_lower,freq_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,Io,Io,gain_db,gain_fo,gain_lower,gain_upper,freq_lower,freq_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,W,Io,gain_db,gain_fo,gain_lower,gain_upper,freq_lower,freq_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,C1,Io,gain_db,gain_fo,gain_lower,gain_upper,freq_lower,freq_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,C2,Io,gain_db,gain_fo,gain_lower,gain_upper,freq_lower,freq_upper,iip3_dbm,s11_db,s12_db,s21_db,s22_db,Kf,nf_db,p_source,gm1,vdsat,vg,vd,vs,
1,Rb,-0.12311253851759818,-0.06708158472103497,-0.06708158472103497,-0.05747594314278582,-0.06969097510269087,0.0,0.0,-0.08172247792251114,-0.30937387125648563,0.008878619526252242,0.0017748433700684543,0.01087581605864858,-0.14729139545847236,0.02777540232619186,-0.06217535757696494,-0.10842143926365438,-0.015709326779340966,0.33483896738963304,0.055044332025097,0.7959613987074188,Rd,-0.10135220129554627,0.3271041352052089,0.3271041352052089,0.3519383883940882,0.30344961930254966,0.0,0.0,0.07363060345121937,-0.31487036135495955,-0.04331033915244509,-0.041708819196715874,0.5204003492179787,-0.6548054194974164,-0.0015295590767774466,-0.05110792422735685,-0.09374121176139295,0.014273528095202107,-1.7558414641499213e-05,-0.3777733735882744,-0.10132317017666698,Io,0.736965334737261,0.21304915924142834,0.21304915924142834,0.20067733689368897,0.23745310553061302,0.0,0.0,0.5792727096254349,0.21514832671137415,-0.02815172044909623,-0.0363842890864979,-0.308098460401603,-0.6905046278972757,-0.08329144427224926,0.8671869550387602,0.6084335253947373,0.19971115108824578,0.4468967696906691,-0.3290218889825999,0.7367194273375648,W,0.018286089187094637,0.08092123205425371,0.08092123205425371,0.09419216177930352,0.054913129779703675,0.0,0.0,-0.2404975789510993,0.10678895048448235,-0.010611033092345738,-0.004437108425190053,-0.08477177174493326,-0.12934109079764403,-0.035075570647198705,0.009254900840740281,0.1791695236118882,-0.1277522993893635,-0.06331564323056099,-0.008187934803202008,0.018354565437013436,C1,0.0,0.0,0.0,0.03142452415454622,0.0,0.0,0.0,0.23542774862547286,-1.959891326538618,0.0929006774819714,0.07631826491312009,0.0029796756325140236,0.0011818483214590275,0.2988202232739101,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.02300191802452181,-0.0013839647333276587,-0.0013839647333276587,-0.0063500333783860245,-0.0021830907863561455,0.0,0.0,0.01103206780502369,-0.0015704257424094435,0.00021655169575399342,0.0017748433700684543,0.01430244303605154,0.030492015701722396,3.476270630162396e-05,-0.011589223011251499,-0.019043026037063152,-0.0062330554640596565,-0.01395893964734102,0.010271084293766353,-0.02298051282357196,
2,Rb,-0.11793209636731135,-0.0654126044317053,-0.0654126044317053,-0.0504795966818003,-0.06772510544881864,0.0,0.0,0.0310914447136839,-0.30747297136745827,0.008881142558985292,0.0009064210869844955,0.007305813753507085,-0.15780243910410977,0.0297047603482609,-0.05977822357264175,-0.10436454093169337,-0.013770791630984295,0.34051122411825757,0.05706605662165064,0.7984625071567886,Rd,-0.10437895458158343,0.31054954603973706,0.31054954603973706,0.34557861933846673,0.28791428974947586,0.0,0.0,0.5524264185303038,-0.3279078056314584,-0.04285151284713046,-0.0416953700010807,0.5051665801638072,-0.647274599522608,0.0013210503331536477,-0.05232223929799172,-0.0971845318860259,0.01640418296601868,0.0,-0.40318795237971233,-0.10439347969070738,Io,0.740388476937868,0.1980815509200305,0.1980815509200305,0.18393047266079016,0.2220887909169059,0.0,0.0,0.8739839530879724,0.20102174171320927,-0.027198499086911188,-0.03716326456618398,-0.32556532539026867,-0.6937641472148279,-0.0873402991688385,0.8687003776221439,0.6069086386250712,0.20724957538660496,0.4526574991674097,-0.35308513738209757,0.7380623853885904,W,0.018587463063008545,0.09002249359901919,0.09002249359901919,0.09172215641058104,0.09324590738012789,0.0,0.0,-0.29199951250976397,0.09266959724368376,-0.012322585300597811,-0.005438526521881211,-0.05646785213641336,-0.12785845512724378,-0.03823497107088565,0.009463364656281795,0.18232700135685792,-0.13358171077848563,-0.0631221840482703,-0.009032994973017974,0.0188750380525527,C1,0.0,0.0,0.0,0.051289863081185195,0.0,0.0,0.0,0.28080107074323457,-1.960318403231554,0.09513923966316996,0.07795221348029306,0.0033484979703654718,0.0014340393171575322,0.3242234960502435,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.024006639479250542,-0.0009619500651784188,-0.0009619500651784188,-0.006076997995401158,-0.0018996066162486939,0.0,0.0,-0.019393539976848714,-0.0009504574076217762,0.00011101428197528689,0.00181284217395611,0.015372649772992405,0.03057933066919719,-3.774429523142885e-05,-0.012018212414740723,-0.019730890999538418,-0.006726050479940897,-0.01470205052190683,0.01147234713430245,-0.02400517660018495,
3,Rb,-0.10262682915914477,-0.060810463511746515,-0.060810463511746515,-0.03749205022145163,-0.062408411384538766,0.0,0.0,0.024467393341548457,-0.30177693870788214,0.008539330448170452,-0.0,-0.0,-0.1705564153960201,0.030117176444575525,-0.05857073525482403,-0.09187645032375642,-0.00966159111080354,0.34587585798728143,0.060022622168234334,0.7987280685628683,Rd,-0.10700239164267845,0.295037502421755,0.295037502421755,0.3467811326340276,0.27371824758482793,0.0,0.0,0.5726688003122271,-0.34155269567222624,-0.04224122128366569,-0.04167168270254911,0.48964353328019017,-0.63891683486073,0.004496948263647279,-0.053514268901906754,-0.1003423252502289,0.018773471003234173,-1.6968007152925253e-05,-0.42889056650751106,-0.10737695722550775,Io,0.7604528707170402,0.18875757659627865,0.18875757659627865,0.17168268550432245,0.21277444037880724,0.0,0.0,1.1513328821777442,0.19196126187147816,-0.026870426476936222,-0.03889357052237917,-0.34936727779992083,-0.7124480476783374,-0.0948897340034461,0.8685224559157732,0.6190399697833433,0.2183019853570268,0.4581361933701305,-0.3759987466708548,0.736177927106225,W,0.017104471526513346,0.07812839785384752,0.07812839785384752,0.08832183631345777,0.053783520111051385,0.0,0.0,-0.4607432136571382,0.10433930450071371,-0.010930342973675006,-0.004630186966945515,-0.09170112594658497,-0.13140409953803478,-0.042164047022402805,0.009815493508630691,0.18407851122162458,-0.13957667571968901,-0.06293433856331744,-0.01006168295093566,0.019703058876326302,C1,0.0,0.0,0.0,0.08271022792889732,8.13668988033486e-05,0.0,0.0,0.18040808249441054,-1.9475709406390098,0.09689293615199218,0.07963921583153391,0.003580858907931386,0.008622533730816933,0.35171086190409057,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.02515948428029177,-0.0006326186060940762,-0.0006326186060940762,-0.005774263700048686,-0.0015459710773214378,0.0,0.0,-0.06684491980744307,-0.00028823012293843563,0.00011385773929664244,0.0018520747867887338,0.01650308888002587,0.03161467109887394,-0.00012376921826068053,-0.012442873084189536,-0.020459197738961054,-0.007246193333102655,-0.015491790538777727,0.012750841457334232,-0.024982347379067762,
4,Rb,-0.1123904526166282,-0.06508031129170012,-0.06508031129170012,-0.028320705986498523,-0.06672876483530456,0.0,0.0,0.09652754874666365,-0.3054151853063099,0.009459942399460533,-0.0009460916951981721,0.0004784002296284317,-0.17416110110306438,0.03533294488287829,-0.05584765495247673,-0.10066592778952052,-0.010526533225917414,0.35076194057039317,0.061353842884752506,0.8021557160876036,Rd,-0.11001131517765846,0.2800094065660043,0.2800094065660043,0.3581784914558914,0.25976841665729206,0.0,0.0,0.9336802408189082,-0.35605397250734855,-0.041577030792699136,-0.04352021797951926,0.4734567605925793,-0.6491140429736219,0.00822013242133301,-0.054503916526025355,-0.10410660683361135,0.02108611679163917,-1.6673572295753228e-05,-0.45551329060440626,-0.110033253067303,Io,0.7397214125224454,0.16594307465016866,0.16594307465016866,0.14622731866490762,0.18886408531003213,0.0,0.0,1.6608073396412086,0.1673893243590213,-0.02429219776652905,-0.03973585119868624,-0.3599164394265479,-0.7070725474357813,-0.09596209837728671,0.870789649065035,0.5965928936423569,0.221420751482102,0.4624582014384362,-0.4023131927594704,0.7391812865497034,W,0.03045295921871356,0.05281427422953782,0.05281427422953782,0.05705425025265312,0.04440554386754025,0.0,0.0,-0.37117963108828883,0.06312265487909176,-0.007474522389697416,-0.010407008647274008,-0.12231099204260892,-0.20553754400863772,-0.046822964234251446,0.01511116370812421,0.18084417581661605,-0.25979219598851155,-0.08726947744189913,-0.01658545866050952,0.030501089324617415,C1,0.0,7.812762461080942e-05,7.812762461080942e-05,0.1307045993487009,8.029935599612494e-05,0.0,0.0,0.21870992147830076,-1.9446700918179605,0.0989206322511603,0.07947170239739937,0.003189334864217685,-0.006926053618086311,0.38552875207035114,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.026075346331034838,-0.00015625524919386235,-0.00015625524919386235,-0.005284329979990884,-0.0010438916279924162,0.0,0.0,-0.04371153165934552,0.00035165824446182424,-0.0,0.0018921833904232339,0.017860275239619035,0.031939782140199734,-0.00031790567375748914,-0.012942322739092018,-0.021113257770453007,-0.007799880192517774,-0.016340100858445956,0.014207283023899892,-0.026097924549936303,
5,Rb,-0.1068072749447469,-0.06459483566221545,-0.06459483566221545,-0.008697832193239097,-0.065930679054222,0.0,0.0,0.007140119820800463,-0.3035411699269959,0.009584098064503109,-0.0009666131807282115,-0.004576801175589263,-0.17446396345343976,0.03801121683785378,-0.05442995479096179,-0.09646318388733757,-0.008162960950661347,0.35523826981158313,0.06368376273754289,0.8029544710209213,Rd,-0.11255843590331173,0.26596053294220984,0.26596053294220984,0.38483643811833773,0.24672372185832442,0.0,0.0,-0.06278905976892915,-0.37004859245716454,-0.040852217999888744,-0.043497593133167874,0.45653591726449677,-0.6410687434013257,0.012250299325731307,-0.055555005530743475,-0.10755494436553306,0.023651234947598042,0.0,-0.4809945199483615,-0.11267885808602553,Io,0.7444558351918035,0.15208796037358258,0.15208796037358258,0.12842093414717817,0.17475601677022476,0.0,0.0,0.10219487471552838,0.15080046048575033,-0.022762232903156578,-0.04059775359095577,-0.37889375446442997,-0.711783988069766,-0.10243871699539035,0.8712167918773233,0.5955924054063614,0.2293677055854938,0.46704273174090377,-0.4260615589734644,0.7387969661385522,W,0.029120957869544224,0.05113435493740665,0.05113435493740665,0.053636631858282525,0.042656355002557676,0.0,0.0,-0.23182604664912443,0.05950096796865123,-0.007307874774161914,-0.010632744988106482,-0.1265158610679275,-0.20658319733571837,-0.05116894574327021,0.014783166720824994,0.1823866858723057,-0.26197027598199013,-0.0859680554925854,-0.01731239700070586,0.030017827005027982,C1,0.0,7.735908463623654e-05,7.735908463623654e-05,0.2014145062786351,7.943455308847722e-05,0.0,0.0,0.30385713959837196,-1.9235412561602845,0.1000340235481299,0.08022889400121079,0.001471114663569283,-0.00379534336295827,0.42124897599091826,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.0271126159475142,0.00030943633850372094,0.00030943633850372094,-0.004690007555180024,-0.0006354764246090449,0.0,0.0,0.0025070527209338925,0.0008623328691206433,-0.0,0.001933226361483896,0.019287947811385934,0.03309158688722343,-0.0005041275442675251,-0.013320600759089288,-0.02168163134199577,-0.008327205637790719,-0.017065496686443197,0.015578003858544548,-0.027016044304526424,
6,Rb,-0.0981018734038673,-0.06350988775318396,-0.06350988775318396,0.01809374721505084,-0.06450902339631082,0.0,0.0,-0.2444373559246504,-0.30015174709708803,0.009583133684718756,-0.001974684544139471,-0.0117264323837201,-0.184130269497986,0.040065730370036155,-0.05345489643624675,-0.09002197581063927,-0.00511012148537848,0.359424280103271,0.06637153190645072,0.8028999180499734,Rd,-0.11502203566207729,0.25242879298997595,0.25242879298997595,0.430289112875281,0.23427789228566942,0.0,0.0,-1.4522748578042834,-0.38438141332031484,-0.04017544506285,-0.04443040224324332,0.4390711325388275,-0.6421141741105363,0.016816320634174587,-0.056509461946886226,-0.11116093520303721,0.02630161569633362,-1.618809529856666e-05,-0.506177459938149,-0.11519430388257942,Io,0.7522020319975175,0.13883200100634369,0.13883200100634369,0.11135306121898436,0.1611152194093565,0.0,0.0,-2.0840195237636974,0.1336978828940282,-0.021254899069951795,-0.0414683754270271,-0.39853118058371234,-0.7194032865067637,-0.1104911268514953,0.8712610343490358,0.5966314076563645,0.2380206426051233,0.47134877105647444,-0.4491864378744686,0.737593945772825,W,0.027352801163558534,0.04954998488954649,0.04954998488954649,0.049870328144957725,0.04130150888179271,0.0,0.0,0.23638579865168965,0.05481613198654915,-0.007125919919395511,-0.010860764992788135,-0.13016339945925406,-0.207924881115273,-0.055979161305764934,0.014562963737362924,0.18347842786123808,-0.2641589956341876,-0.08472849083728742,-0.018085236815236858,0.029696478339300652,C1,0.0,0.00015340552596804905,0.00015340552596804905,0.29931198751261984,7.86695407382175e-05,0.0,0.0,0.3258504758679925,-1.9031893629964292,0.10086862506603388,0.08096206630991473,-0.0026803274019951925,0.00019921512694560933,0.4627874010771494,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.028054155039519916,0.0008437303928515201,0.0008437303928515201,-0.0042308762144637494,-0.00015733908144848597,0.0,0.0,0.0772571857281498,0.0013369788289415807,-0.00012286068826965421,0.0019746845441535018,0.020437496440186737,0.03317401495297502,-0.0007335978800273119,-0.013702522748435943,-0.022299909107305338,-0.00889781536591837,-0.017823092933103486,0.017007202236388585,-0.027944473717522865,
7,Rb,-0.10766159356020524,-0.0685505891923167,-0.0685505891923167,0.04731363170249413,-0.06954374309245802,0.0,0.0,-0.3244025478454704,-0.30222401567025103,0.010326636551510655,-0.0020161656159036544,-0.013213530655392478,-0.1784453487594623,0.046458924957042076,-0.05130151595875513,-0.09878470536387521,-0.005713133812955103,0.3634607592443979,0.0673463329478696,0.8053790738504734,Rd,-0.11777857964259948,0.23901305431720493,0.23901305431720493,0.4994325296858854,0.22189995691566222,0.0,0.0,-1.5484889861555968,-0.3980613947701388,-0.039543461916755944,-0.04516210979634214,0.4209453337360227,-0.641040188463043,0.021795545041567187,-0.05735637171624352,-0.11517101518558519,0.02900389239701382,0.0,-0.5310415888220782,-0.11748948569759547,Io,0.7334814909739572,0.11729767484017914,0.11729767484017914,0.08895744803565442,0.13885333216776471,0.0,0.0,-2.273270663598065,0.10592552426829514,-0.01826051585327383,-0.04163381996851432,-0.40773180308063023,-0.7133090674587368,-0.11273777537587744,0.8731761034202477,0.5754349141376041,0.2413799035973559,0.4754912545197241,-0.4745258064944809,0.7402737080975177,W,0.024702307684521287,0.08515506524111545,0.08515506524111545,0.0740986215505851,0.08663698634414377,0.0,0.0,0.32728765028744633,0.08112550072928829,-0.013097197577527454,-0.006250113409322817,-0.0756774937536032,-0.14256300321943136,-0.06513171646927682,0.010317968484681188,0.20111744362362885,-0.15941590997400043,-0.06168060744146707,-0.013538188275335795,0.021116411392240606,C1,0.0,0.00015233464264381984,0.00015233464264381984,0.42865759300697515,7.805133904581787e-05,0.0,0.0,0.35654114406724563,-1.890686540312649,0.10150328122580198,0.0813522826018951,-0.010467861947793793,-0.00036276382653306285,0.5121315788131935,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.029086334986890297,0.0013710117838484988,0.0013710117838484988,-0.003616951183851849,0.00039025669524295404,0.0,0.0,0.0915467864860329,0.0021016969100873042,-0.00025186918419148015,0.0023185904582999468,0.02179374536668606,0.036271598177258106,-0.0010196746218348546,-0.014107402019961694,-0.022828790606304897,-0.009494838865283474,-0.01859195541249546,0.018510395605557253,-0.02891192229160527,
8,Rb,-0.10550745670087432,0.06573446601335728,-0.07013483156279021,0.08743371911197505,-0.07086743602547171,0.0,0.0,-0.3512965609812408,-0.298770290475583,0.010319358342310887,-0.0028799029061238814,-0.019618146785762,-0.18305288182985566,0.04931406961635064,-0.050331030931116474,-0.09789120569260358,-0.003957898940464092,0.36674398299072186,0.06937464429416641,0.8054687798871591,Rd,-0.11982458266798822,0.45152116222109384,0.22676423941577425,0.6005703988335381,0.21074145636457448,0.0,0.0,-1.5246824984106149,-0.4096347378847632,-0.039084569721450704,-0.046284153848529144,0.4035733053074219,-0.6416600509913442,0.026509035949873947,-0.05820824300764284,-0.11871623837570189,0.031647036834145915,0.0,-0.5536774825740679,-0.11964322273271509,Io,0.7343221369612057,0.056171284197168964,0.10255136278188957,0.07471368648003046,0.1238241743245835,0.0,0.0,-2.232663513174179,0.0848260662985456,-0.0158660134512787,-0.042684275215863335,-0.4198633736205791,-0.7206851739945423,-0.12048901545441042,0.8732819810357124,0.5708136941078211,0.2479906393266783,0.47897328715484094,-0.49582908546580107,0.7395094627868015,W,0.024322844682760057,0.053615035770511354,0.07619399627665138,0.07131360855330944,0.055825551354848964,0.0,0.0,0.301666064584948,0.08294700786788708,-0.011093310217953959,-0.004628415384845606,-0.1143808022420599,-0.14170906600611308,-0.0740800456681773,0.010489754775269311,0.2028294940284875,-0.16369546923961917,-0.061452521895112085,-0.014466275453595035,0.02156604822975708,C1,0.0,0.44836928309310153,0.0001514791178539287,0.5963780697394556,0.000155070975979838,0.0,0.0,0.39613867120967144,-1.8444300681561379,0.0998397919617506,0.07971159829468664,-0.02382203538271895,-0.00026621054755214237,0.5571981474178376,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.02977311422708466,-0.0024156133999366394,0.001969228532006895,-0.003213018623293691,0.0010854968319001853,0.0,0.0,0.07963249663566127,0.0029528061053247807,-0.00038697593783070075,0.0023656345300412935,0.02277106323350753,0.03665276847276989,-0.0013799224193084007,-0.01444815280366408,-0.02326440744425972,-0.009999752833254907,-0.01923840818886873,0.019895304925186735,-0.029679590741146462,
9,Rb,-0.1037332976807515,0.09846941549994004,-0.07190633182736629,0.13654899579834467,-0.07247253946092139,0.0,0.0,-0.3929373565075677,-0.29307827411812926,0.010157989720641851,-0.00408709066215225,-0.026705359765706982,-0.18831661703703603,0.05034840262410973,-0.04949086935401214,-0.09722780373730226,-0.002282156876109699,0.3696892829552719,0.07131596726972936,0.8053540472365888,Rd,-0.12166445148759211,0.5362878805836347,0.2151913808879843,0.743678340941951,0.1999933695336261,0.0,0.0,-1.57695634621739,-0.4186328656777456,-0.03891697360505571,-0.04778752158821535,0.3865155736756367,-0.6447663134538651,0.030375482574878685,-0.05890862338363247,-0.12200535300127602,0.03413592397781673,0.0,-0.5750794598125438,-0.12151767396502194,Io,0.7349413698457602,0.046320503864450885,0.08818701073167615,0.06423332824159082,0.1091713998687815,0.0,0.0,-2.294677814679995,0.06295363649828609,-0.01345603833125568,-0.04380522812253198,-0.427285756251274,-0.7303905758194096,-0.1287421138173538,0.8734108969895964,0.5662939527895691,0.2543479909948024,0.48209902191054294,-0.5160089825169715,0.7388538925514486,W,0.030357128813319863,0.03285102561850281,0.04756068698434454,0.045555003412760024,0.03978279825726713,0.0,0.0,0.20542812917993097,0.03650252872589549,-0.006464175276780608,-0.009850936467746995,-0.1395800137087588,-0.2037253170297799,-0.07581387568687895,0.013478445544410328,0.19248566097834027,-0.26869986487059466,-0.08161788951884578,-0.01942973721279723,0.027797890747264454,C1,0.0,0.5858804730213039,0.0001507470268860552,0.8124491228341547,0.00015419689246418851,0.0,0.0,0.4398192262652862,-1.8069633422914426,0.09788608276253852,0.07765472258086298,-0.043796790015758695,-0.0005996711180783076,0.6054291389923762,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.030514419636189283,-0.0020543510644262593,0.002638072970599689,-0.0028487990249605674,0.001619067370928761,0.0,0.0,0.0871147962799242,0.003879495806611805,-0.0005276877776944632,0.0024103355187097557,0.023678752325585608,0.037157721815656214,-0.0017476305043156624,-0.01477481654443415,-0.023595581366236473,-0.010510778851926146,-0.019893873357411596,0.021280997139547782,-0.030482679601020857,
10,Rb,-0.10232474506431961,0.1356513988129805,-0.07413806054233572,0.20026681071015384,-0.0745546683046555,0.0,0.0,-0.45808679003902203,-0.28536061760361653,0.009694815293586801,-0.005330581331872881,-0.03402383108336616,-0.1923052973745171,0.04857135208110583,-0.048834128889704266,-0.09708089692033481,-0.0006401065137200822,0.37246193979744396,0.07324785508136179,0.805041346546681,Rd,-0.12342969992867898,0.6463687519748692,0.20386088785397188,0.9542563485039351,0.18941953316953636,0.0,0.0,-1.6961960831311,-0.4242137932271663,-0.038913911386685845,-0.04946779475983124,0.37084175678181486,-0.6463974157489554,0.032699611046733676,-0.05954708140150213,-0.12540147394570728,0.03675811655060058,0.0,-0.595054743587658,-0.12325583850927123,Io,0.7350162439580564,0.03834117472197046,0.0733869150454414,0.056604390722391935,0.09428746928747322,0.0,0.0,-2.4484282362001313,0.040184898371674785,-0.010906667205266018,-0.04477688318777462,-0.4297083851641565,-0.7397432064371917,-0.13605715356578282,0.8733633296003652,0.5608834999470468,0.26058736173700003,0.4850735276085031,-0.5347593582887715,0.7379105718989624,W,0.029409792699057528,0.032877691760186734,0.04657102080672847,0.04853846351706815,0.03885135135135355,0.0,0.0,0.19224872642932764,0.02786631345417172,-0.005924609346057436,-0.009488434770739183,-0.13933568919859976,-0.20197204182006523,-0.08213147920801804,0.01332676566759531,0.19365151317353396,-0.26991691417452296,-0.08066821041663375,-0.020006477959588462,0.027615805662695978,C1,0.0,0.751433250112019,7.511454968543095e-05,1.1093666691118451,0.00015356265357047914,0.0,0.0,0.47290595250922834,-1.755816943436161,0.09398584826267666,0.07452152701965499,-0.06966784459929988,0.0004627230221188009,0.6453870601328541,0.0,0.0,0.0,0.0,0.0,0.0,C2,-0.031238380846144907,-0.0017745564737980022,0.003305040186279049,-0.002619838560798179,0.002303439803448074,0.0,0.0,0.09455001568456146,0.004544720649188649,-0.0006732510620376302,0.0026652906659364404,0.0243027364881323,0.03911807052331884,-0.002103483751549436,-0.015075443483101024,-0.023983191354830038,-0.011025834698897816,-0.020529519706410454,0.022610769487094375,-0.031189615807293555,
