Iteration No,Rb,loss,loss_gain,loss_iip3,loss_s11,loss_nf,loss_Io,Rd,loss,loss_gain,loss_iip3,loss_s11,loss_nf,loss_Io,Io,loss,loss_gain,loss_iip3,loss_s11,loss_nf,loss_Io,W,loss,loss_gain,loss_iip3,loss_s11,loss_nf,loss_Io,C1,loss,loss_gain,loss_iip3,loss_s11,loss_nf,loss_Io,C2,loss,loss_gain,loss_iip3,loss_s11,loss_nf,loss_Io,
1,Rb,0.0007168998503738747,0.0,0.0,7.782089707533224e-07,0.00098945573406124,-0.00027333409265860683,Rd,-0.00023586079828674574,0.0,0.0,4.87834033697626e-07,-0.0001004023157101963,-0.00013594631661063326,Io,-352.0219081468629,0.0,0.0,-0.13776994735785503,-730.5298533044682,378.64571510506113,W,-2936.4591887745933,0.0,0.0,-0.5903090271076425,-3031.151125218634,95.28224547162449,C1,135497326.783505,0.0,0.0,63267.48725327597,135434059.29625732,0.0,C2,-838175952.4406443,0.0,0.0,69185.49302090888,70757890.09689425,-909003028.0378914,
2,Rb,0.0007156370823545562,0.0,0.0,1.3099903384340828e-06,0.0009962077541735715,-0.0002818806621570618,Rd,-0.00018051011661066236,0.0,0.0,8.427195934747766e-07,-3.467549449393614e-05,-0.0001466773417101835,Io,-289.03352737001927,0.0,0.0,-0.20240468958517313,-663.724867111364,374.89374443094226,W,-2915.4495095807056,0.0,0.0,-1.083577718098485,-3014.696464342869,100.33053248026191,C1,172283194.88045168,0.0,0.0,133298.01227959368,172149896.86817122,0.0,C2,-972632356.062754,0.0,0.0,125801.24990695209,23587734.181048784,-996345891.4916148,
3,Rb,0.0007149688976519018,0.0,0.0,2.1950814369352183e-06,0.0010012726570062462,-0.00028849884079127963,Rd,-0.0001289962464423639,0.0,0.0,1.4485114942944456e-06,2.7553207771853533e-05,-0.00015799796570845943,Io,-232.99904626681004,0.0,0.0,-0.2948071404804516,-604.7728041266649,372.06856500032376,W,-2849.51236941828,0.0,0.0,-1.5154190432168253,-2952.1528669232325,104.15591654868727,C1,219445352.5640059,0.0,0.0,280653.2819672643,219164699.2820398,0.0,C2,-1112299698.1754382,0.0,0.0,125804.41074363713,-23588327.025954813,-1088837175.5591793,
4,Rb,0.0006831812449873539,0.0,0.0,3.6236151689841844e-06,0.0009474351981807049,-0.0002678775683622775,Rd,-8.119142097865099e-05,0.0,0.0,2.4899542924601143e-06,8.588766388493982e-05,-0.00016956903915608593,Io,-190.8191695927368,0.0,0.0,-0.43876925900906477,-568.225954798478,377.84555446469545,W,-2809.7502624985673,0.0,0.0,-2.7437191001392898,-2904.779958843661,97.77341544447557,C1,277672563.5977105,0.0,0.0,585658.2504581477,277086905.3472595,0.0,C2,-1264239988.9947808,0.0,0.0,62900.64229004576,-70763221.43242481,-1193539668.204646,
5,Rb,0.0007224249689070745,0.0,0.0,6.1238588808525106e-06,0.0010285756064980411,-0.0003122744964715256,Rd,-3.539987907799526e-05,0.0,0.0,4.266949710272766e-06,0.00014302183288128825,-0.000182688661669451,Io,-131.04184498182238,0.0,0.0,-0.5930622785731805,-493.6215577575902,363.17277505435135,W,-2682.5726935067205,0.0,0.0,-2.653129606135399,-2857.287559856957,177.36799595612584,C1,352068645.26434225,0.0,0.0,1218957.0977717235,350849688.1665724,0.0,C2,-1457738929.6090438,0.0,0.0,-125791.85648196742,-165101811.7216136,-1292511326.0319958,
6,Rb,0.0007113254044105833,0.0,0.0,1.0126038029445154e-05,0.0010167390812529438,-0.0003155397148716858,Rd,4.409712840535798e-06,0.0,0.0,7.267664033111269e-06,0.00019291170550998494,-0.00019576965670270143,Io,-89.80041942272166,0.0,0.0,-0.8277490661817175,-450.85403033563455,361.8813599790749,W,-2573.8097574596286,0.0,0.0,-3.9768650310038787,-2742.1997327750732,172.36684034584871,C1,441299796.27440417,0.0,0.0,2498931.3656625585,438800864.9087323,0.0,C2,-1637082992.9559655,0.0,0.0,-503079.3189223876,-235818431.3593397,-1400761482.2777035,
7,Rb,0.000684804090116769,0.0,0.0,1.6458905144756026e-05,0.0009759874153239869,-0.0003076422303514856,Rd,4.0691228956638e-05,0.0,0.0,1.2249977303755832e-05,0.00023807564586024492,-0.0002096343942072918,Io,-52.219931027342255,0.0,0.0,-1.1260362485749011,-413.39605775537905,362.3021629766023,W,-2454.998452913128,0.0,0.0,-5.761257888593257,-2613.643822572922,164.40662754897207,C1,550249942.7558765,0.0,0.0,5047164.362348161,545202778.3935431,0.0,C2,-1816604499.8012404,0.0,0.0,-1257383.2845457713,-306487175.51930004,-1508859940.9921596,
8,Rb,0.0006898320966981407,0.0,0.0,2.684069903818286e-05,0.0010205251876981734,-0.0003575337900385886,Rd,7.074118314165663e-05,0.0,0.0,2.0334466667204004e-05,0.0002753849366488457,-0.00022497822017460763,Io,-7.188778560436093,0.0,0.0,-1.3524241860656485,-356.0176168369904,350.18126246261096,W,-2489.9636033826405,0.0,0.0,-13.231177309149489,-2627.3827480248647,150.65032195125946,C1,683675899.2560391,0.0,0.0,10054583.305609262,673621315.9504075,0.0,C2,-2006443298.01174,0.0,0.0,-3142432.7302932492,-377091927.58495116,-1626208937.6985888,
9,Rb,0.0006409341392402737,0.0,0.0,4.2340912688450625e-05,0.0009686482383909451,-0.0003700550118389953,Rd,9.0283397292831e-05,0.0,0.0,3.307068273376206e-05,0.0002966284206542274,-0.0002394157060952667,Io,26.587338210264058,0.0,0.0,-1.6238111469746948,-319.68781956045046,347.8989689176635,W,-2427.358063498188,0.0,0.0,-20.65324691592548,-2556.5912444427377,149.88642786036363,C1,827115697.927937,0.0,0.0,19292842.677871697,807822855.2500746,0.0,C2,-2179026710.5938745,0.0,0.0,-6910564.745112625,-447616125.50003755,-1724500020.3487246,
10,Rb,0.0005598950192075828,0.0,0.0,6.436643300291084e-05,0.0008786482844488618,-0.0003831196982439964,Rd,9.76232694897384e-05,0.0,0.0,5.197525045276352e-05,0.00029966775087297555,-0.0002540197318358913,Io,57.80497810371254,0.0,0.0,-1.7610835623017533,-286.1760788738254,345.74214053985617,W,-2051.000666366036,0.0,0.0,-13.488923984168428,-2226.1611865073,188.64944412554064,C1,989016718.764784,0.0,0.0,35803265.0986218,953213453.666168,0.0,C2,-2335586702.0851636,0.0,0.0,-13814466.312640445,-494495100.9268539,-1827277134.8456695,
