Iteration No,alpha,fixed_alpha,Rb,Rd1,Rd2,Rbias3,Rbias4,Cload,len2,Ibias1,Ibias2,W1,W2,W3,Alo,
1,0.12,0.06,1,1,1,0.01,0.01,1,1,1,1,1,1,1,1,
2,0.12,0.06,1,1,1,0.01,0.01,1,1,1,1,1,1,1,1,
3,0.12,0.06,1,1,1,0.01,0.01,1,1,1,1,1,1,1,1,
4,0.12,0.06,1,1,1,0.01,0.01,1,1,1,1,1,1,1,1,
5,0.12,0.06,1,1,1,0.01,0.01,1,1,1,1,1,1,1,1,
6,0.12,0.06,1,1,1,0.01,0.01,1,1,1,1,1,1,1,1,
7,0.12,0.06,1,1,1,0.01,0.01,1,1,1,1,1,1,1,1,
8,0.12,0.06,1,1,1,0.01,0.01,1,1,1,1,1,1,1,1,
9,0.12,0.06,1,1,1,0.01,0.01,1,1,1,1,1,1,1,1,
10,0.12,0.06,1,1,1,0.01,0.01,1,1,1,1,1,1,1,1,
11,0.12,0.06,1,1,1,0.01,0.01,1,1,1,1,1,1,1,1,
12,0.12,0.06,1,1,1,0.01,0.01,1,1,1,1,1,1,1,1,
13,0.12,0.06,1,1,1,0.01,0.01,1,1,1,1,1,1,1,1,
14,0.12,0.06,1,1,1,0.01,0.01,1,1,1,1,1,1,1,1,
15,0.12,0.06,1,1,1,0.01,0.01,1,1,1,1,1,1,1,1,
16,0.12,0.06,1,1,1,0.01,0.01,1,1,1,1,1,1,1,1,
17,0.12,0.06,1,1,1,0.01,0.01,1,1,1,1,1,1,1,1,
18,0.12,0.06,1,1,1,0.01,0.01,1,1,1,1,1,1,1,1,
19,0.12,0.06,1,1,1,0.01,0.01,1,1,1,1,1,1,1,1,
20,0.12,0.06,1,1,1,0.01,0.01,1,1,1,1,1,1,1,1,
21,0.12,0.06,1,1,1,0.01,0.01,1,1,1,1,1,1,1,1,
22,0.12,0.06,1,1,1,0.01,0.01,1,1,1,1,1,1,1,1,
23,0.12,0.06,1,1,1,0.01,0.01,1,1,1,1,1,1,1,1,
24,0.12,0.06,1,1,1,0.01,0.01,1,1,1,1,1,1,1,1,
25,0.12,0.06,1,1,1,0.01,0.01,1,1,1,1,1,1,1,1,
26,0.12,0.06,1,1,1,0.01,0.01,1,1,1,1,1,1,1,1,
27,0.12,0.06,1,1,1,0.01,0.01,1,1,1,1,1,1,1,1,
28,0.12,0.06,1,1,1,0.01,0.01,1,1,1,1,1,1,1,1,
29,0.12,0.06,1,1,1,0.01,0.01,1,1,1,1,1,1,1,1,
30,0.12,0.06,1,1,1,0.01,0.01,1,1,1,1,1,1,1,1,
